x,sin_x,cos_x
0.000000,0.000000,1.000000
0.003259,0.003259,0.999995
0.003570,0.003570,0.999994
0.006707,0.006707,0.999978
0.007748,0.007747,0.999970
0.010435,0.010434,0.999946
0.014506,0.014506,0.999895
0.025181,0.025178,0.999683
0.027054,0.027051,0.999634
0.028275,0.028271,0.999600
0.029021,0.029017,0.999579
0.029791,0.029787,0.999556
0.034117,0.034110,0.999418
0.034389,0.034382,0.999409
0.045958,0.045942,0.998944
0.046259,0.046242,0.998930
0.047168,0.047151,0.998888
0.058181,0.058148,0.998308
0.067404,0.067353,0.997729
0.069220,0.069164,0.997605
0.075724,0.075652,0.997134
0.077300,0.077223,0.997014
0.078351,0.078270,0.996932
0.087564,0.087452,0.996169
0.092255,0.092124,0.995748
0.099309,0.099146,0.995073
0.104174,0.103986,0.994579
0.111016,0.110788,0.993844
0.112072,0.111837,0.993727
0.112224,0.111988,0.993710
0.114106,0.113859,0.993497
0.115848,0.115589,0.993297
0.119595,0.119310,0.992857
0.124196,0.123877,0.992298
0.132877,0.132486,0.991185
0.132927,0.132536,0.991178
0.135793,0.135376,0.990794
0.136492,0.136069,0.990699
0.142704,0.142220,0.989835
0.143281,0.142791,0.989753
0.145394,0.144882,0.989449
0.145943,0.145426,0.989369
0.150610,0.150041,0.988680
0.153629,0.153026,0.988222
0.155968,0.155337,0.987862
0.156197,0.155562,0.987826
0.166708,0.165937,0.986136
0.166993,0.166218,0.986089
0.170790,0.169961,0.985451
0.182209,0.181203,0.983446
0.186028,0.184957,0.982747
0.187457,0.186361,0.982481
0.188838,0.187718,0.982223
0.193634,0.192426,0.981311
0.194105,0.192889,0.981221
0.196560,0.195297,0.980744
0.201999,0.200628,0.979668
0.218896,0.217152,0.976138
0.220645,0.218859,0.975756
0.221017,0.219222,0.975675
0.225207,0.223308,0.974748
0.225559,0.223652,0.974669
0.226571,0.224637,0.974442
0.227217,0.225267,0.974297
0.232294,0.230210,0.973141
0.235070,0.232911,0.972498
0.242167,0.239806,0.970821
0.242809,0.240431,0.970666
0.251924,0.249268,0.968435
0.252278,0.249611,0.968346
0.252922,0.250234,0.968185
0.253836,0.251119,0.967956
0.257277,0.254448,0.967086
0.258108,0.255251,0.966875
0.261470,0.258500,0.966011
0.261800,0.258800,0.965900
0.266096,0.262967,0.964805
0.267361,0.264187,0.964471
0.273162,0.269777,0.962923
0.275227,0.271766,0.962363
0.277560,0.274010,0.961727
0.280538,0.276873,0.960907
0.282182,0.278452,0.960450
0.283464,0.279683,0.960092
0.283831,0.280035,0.959990
0.288796,0.284798,0.958588
0.297660,0.293284,0.956025
0.305170,0.300455,0.953796
0.305982,0.301229,0.953552
0.307648,0.302818,0.953048
0.308615,0.303740,0.952755
0.309473,0.304556,0.952494
0.310761,0.305783,0.952101
0.314830,0.309654,0.950849
0.317425,0.312121,0.950042
0.317527,0.312218,0.950010
0.319396,0.313993,0.949425
0.319693,0.314275,0.949332
0.320194,0.314751,0.949174
0.323076,0.317485,0.948263
0.324576,0.318907,0.947786
0.326486,0.320717,0.947175
0.330345,0.324369,0.945931
0.331797,0.325742,0.945459
0.335409,0.329155,0.944276
0.342436,0.335782,0.941940
0.345167,0.338354,0.941019
0.346894,0.339979,0.940433
0.347274,0.340336,0.940304
0.348060,0.341074,0.940036
0.349144,0.342093,0.939666
0.359599,0.351899,0.936038
0.364081,0.356091,0.934451
0.365106,0.357049,0.934086
0.366327,0.358189,0.933649
0.373766,0.365124,0.930959
0.375887,0.367098,0.930182
0.379070,0.370056,0.929009
0.380311,0.371210,0.928549
0.389954,0.380146,0.924927
0.396577,0.386263,0.922389
0.397905,0.387487,0.921875
0.400976,0.390317,0.920681
0.408073,0.396841,0.917887
0.411740,0.400204,0.916426
0.415188,0.403362,0.915041
0.418202,0.406118,0.913821
0.419879,0.407650,0.913138
0.422021,0.409605,0.912263
0.424231,0.411620,0.911355
0.437565,0.423735,0.905786
0.439393,0.425391,0.905010
0.447642,0.432841,0.901470
0.448020,0.433181,0.901307
0.451115,0.435969,0.899962
0.451272,0.436110,0.899893
0.451449,0.436270,0.899816
0.452761,0.437450,0.899243
0.465318,0.448707,0.893679
0.465399,0.448779,0.893643
0.471348,0.454087,0.890957
0.486545,0.467575,0.883953
0.488484,0.469288,0.883045
0.490770,0.471305,0.881970
0.491069,0.471569,0.881829
0.502964,0.482025,0.876157
0.507275,0.485797,0.874072
0.509906,0.488095,0.872791
0.519808,0.496713,0.867915
0.523600,0.500000,0.866000
0.528512,0.504249,0.863558
0.530579,0.506033,0.862514
0.530887,0.506298,0.862359
0.532887,0.508022,0.861344
0.532935,0.508064,0.861320
0.540243,0.514344,0.857584
0.544824,0.518268,0.855218
0.550721,0.523301,0.852148
0.551092,0.523618,0.851953
0.555448,0.527324,0.849664
0.559467,0.530735,0.847538
0.563936,0.534517,0.845158
0.565495,0.535834,0.844323
0.565787,0.536081,0.844167
0.568256,0.538163,0.842841
0.569125,0.538895,0.842373
0.576300,0.544925,0.838485
0.576317,0.544939,0.838475
0.582804,0.550367,0.834923
0.589412,0.555872,0.831268
0.591072,0.557251,0.830344
0.591734,0.557801,0.829975
0.592417,0.558368,0.829594
0.593552,0.559309,0.828959
0.594639,0.560210,0.828351
0.597212,0.562339,0.826907
0.597504,0.562581,0.826742
0.598081,0.563058,0.826418
0.598154,0.563118,0.826377
0.603784,0.567762,0.823193
0.605642,0.569290,0.822137
0.608276,0.571454,0.820634
0.609330,0.572318,0.820032
0.614420,0.576485,0.817108
0.621561,0.582305,0.812970
0.622746,0.583268,0.812280
0.623022,0.583492,0.812119
0.627257,0.586926,0.809640
0.627454,0.587086,0.809525
0.630804,0.589795,0.807553
0.635269,0.593394,0.804912
0.638823,0.596251,0.802798
0.640220,0.597372,0.801964
0.645897,0.601915,0.798560
0.647185,0.602943,0.797784
0.648949,0.604350,0.796719
0.649700,0.604948,0.796265
0.657316,0.610994,0.791635
0.659607,0.612806,0.790233
0.661482,0.614287,0.789083
0.665373,0.617353,0.786687
0.668654,0.619930,0.784657
0.674263,0.624322,0.781167
0.674833,0.624767,0.780811
0.676956,0.626423,0.779483
0.682202,0.630503,0.776187
0.682713,0.630900,0.775864
0.685772,0.633271,0.773930
0.686641,0.633943,0.773380
0.694847,0.640268,0.768151
0.695105,0.640466,0.767986
0.695499,0.640768,0.767734
0.695701,0.640924,0.767605
0.701206,0.645139,0.764065
0.702742,0.646312,0.763073
0.704159,0.647393,0.762156
0.716937,0.657079,0.753822
0.719614,0.659094,0.752060
0.724617,0.662849,0.748753
0.725645,0.663618,0.748071
0.726991,0.664624,0.747178
0.727949,0.665340,0.746540
0.735783,0.671168,0.741305
0.738302,0.673033,0.739613
0.740435,0.674609,0.738175
0.741453,0.675360,0.737488
0.743923,0.677180,0.735817
0.744423,0.677547,0.735479
0.747136,0.679540,0.733638
0.747406,0.679738,0.733455
0.749066,0.680955,0.732325
0.751925,0.683046,0.730375
0.752308,0.683326,0.730114
0.754677,0.685054,0.728493
0.758100,0.687543,0.726144
0.765496,0.692895,0.721039
0.766056,0.693299,0.720650
0.766354,0.693513,0.720444
0.771311,0.697076,0.716998
0.777568,0.701548,0.712622
0.778297,0.702068,0.712110
0.784919,0.706768,0.707446
0.785400,0.707100,0.707100
0.789569,0.710050,0.704151
0.790469,0.710683,0.703512
0.791847,0.711652,0.702532
0.797399,0.715541,0.698570
0.797558,0.715652,0.698457
0.799384,0.716927,0.697148
0.799700,0.717147,0.696922
0.804578,0.720538,0.693415
