x,sin_x,cos_x
0,0.0000,1.0000
0.2618,0.2588,0.9659
0.5236,0.5000,0.8660
0.7854,0.7071,0.7071
1.0472,0.8660,0.5000
1.3090,0.9659,0.2588
1.5708,1.0000,0.0000
1.8326,0.9659,-0.2588
2.0944,0.8660,-0.5000
2.3562,0.7071,-0.7071
2.6180,0.5000,-0.8660
2.8798,0.2588,-0.9659
3.1416,0.0000,-1.0000
3.4034,-0.2588,-0.9659
3.6652,-0.5000,-0.8660
3.9270,-0.7071,-0.7071
4.1888,-0.8660,-0.5000
4.4506,-0.9659,-0.2588
4.7124,-1.0000,-0.0000
4.9744,-0.9659,0.2588
5.2360,-0.8660,0.5000
5.4978,-0.7071,0.7071
5.7596,-0.5000,0.8660
6.0214,-0.2588,0.9659
6.2832,-0.0000,1.0000
